ARG,ID,RESULTNAME,DATENTYP,L/H,EINHEIT,NAME,MUL,DIV,ADD,説明(日本語)
N,0x5800,STAT_MOTORDREHZAHL_WERT,signed int,high,U/min,-,1,1,0,エンジン回転数
RF_M,0x5801,STAT_RELATIVE_FUELLUNG_WERT,signed int,high,-,-,1,10000,0,相対充填率(体積効率、全体)
TMOT,0x5802,STAT_MOTORTEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,エンジン(冷却水)温度
UB,0x5803,STAT_BATTERIESPANNUNG_KL87_WERT,signed int,high,Volt,-,1,10,0,バッテリー電圧(端子87系統)
ML_GES,0x5804,STAT_LUFTMASSENSTROM_BANK_1_UND_BANK_2_WERT,signed int,high,kg/h,-,1,10,0,吸入空気質量流量(バンク1+2合計)
TGETR,0x5805,STAT_GETRIEBETEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,トランスミッション油温
MVAC_P,0x5806,STAT_SENSORUNTERDRUCK_BREMSKRAFTVERSTAERKER_WERT,signed int,high,mbar,-,1,16,0,ブレーキブースター負圧センサーの値
TAN_B1,0x5807,STAT_ANSAUGLUFTTEMPERATUR_BANK_1_WERT,signed int,high,°C,-,1,10,-273.2,吸気温度(バンク1)
TAN_B2,0x5808,STAT_ANSAUGLUFTTEMPERATUR_BANK_2_WERT,signed int,high,°C,-,1,10,-273.2,吸気温度(バンク2)
PKS_REL,0x5809,STAT_KRAFTSTOFFDRUCK_RELATIV_WERT,signed int,high,bar,-,1,1000,0,燃料圧力(インマニ圧に対する相対値)
TIME_ML,0x580A,STAT_MOTORLAUFZEIT_WERT,unsigned int,high,s,-,128,100,0,エンジン稼働時間(今回始動からの経過時間)
ZUSTAND_MOTOR,0x580B,STAT_MOTORZUSTAND_WERT,unsigned int,high,0-n,zust_equ,1,1,0,エンジンの状態(動作ステートマシン)
TDME,0x580C,STAT_STEUERGERAETETEMPERATUR_WERT,signed int,high,°C,-,1,10,-273.2,DME(ECU)内部温度
EGAS_IST_LLS_B1,0x580D,STAT_LEERLAUFSTELLER_ISTWERT_BANK_1_WERT,signed int,high,%,-,1,10,0,アイドルアクチュエータの実測開度(バンク1)
